,bleu,meteor,rouge,percentage,method
0,0.3312608031072371,0.6273355434271839,0.6554531916620158,5,img_cluster
1,0.37512492661275953,0.6620034627953192,0.6824672652846372,10,img_cluster
2,0.4171229465199197,0.6937972717198211,0.7114757937732816,15,img_cluster
3,0.47534389596381443,0.7282033715509857,0.7391518862614108,20,img_cluster
4,0.45425348332277543,0.7103051073387169,0.7250924827310102,25,img_cluster
5,0.47574753029114647,0.7248573446764736,0.7390728338618837,30,img_cluster
6,0.4950969135044378,0.7374098545156628,0.7528868524999921,35,img_cluster
7,0.5068846225549063,0.7507268256994685,0.7620893619113325,40,img_cluster
8,0.4899725582526791,0.730654839602104,0.7430237456481474,45,img_cluster
0,0.3369510237612306,0.628228888020423,0.651037765502107,5,img_cluster
1,0.41302884737393497,0.6871307915648235,0.7068152078174049,10,img_cluster
2,0.4376823431402654,0.6980092193486486,0.7140874706499608,15,img_cluster
3,0.45569581061403314,0.7113376708627015,0.7284566099586912,20,img_cluster
4,0.49221954012785024,0.7383031955364906,0.7525159929370618,25,img_cluster
5,0.4934772232043379,0.7391827453029772,0.7527524897883089,30,img_cluster
6,0.4859454578853144,0.7344178027613847,0.7473902053115968,35,img_cluster
7,0.5175824222482522,0.7517716132113659,0.7598583453261638,40,img_cluster
8,0.5075090503837558,0.7415622265130676,0.7529281057974723,45,img_cluster
0,0.34364489475418203,0.6272838590668809,0.6520701703073603,5,img_cluster
1,0.40447907025400603,0.6797921485722067,0.7001562689799182,10,img_cluster
2,0.44270697860678715,0.7100472822298941,0.7253062724816508,15,img_cluster
3,0.4275571180642333,0.6948360654855236,0.711562890264074,20,img_cluster
4,0.464873531742196,0.7162298789977184,0.729108387130733,25,img_cluster
5,0.4728441929242748,0.7249335964194276,0.7388965803344804,30,img_cluster
6,0.5095152835065545,0.743678306554367,0.7554665641983817,35,img_cluster
7,0.49868824657155725,0.7443937573475168,0.7576048099318299,40,img_cluster
8,0.509455062861677,0.7387049840742821,0.7492860640240581,45,img_cluster
0,0.3312608031072371,0.6273355434271839,0.6554531916620158,5,text_cluster
1,0.394786092594181,0.668074483959277,0.6870595705707395,10,text_cluster
2,0.4107784020351904,0.6843849949553557,0.7005639018866282,15,text_cluster
3,0.4859125578708328,0.7317143038291576,0.7477402685181155,20,text_cluster
4,0.4667606242332662,0.7154954656752376,0.7257334655269401,25,text_cluster
5,0.48456514224119746,0.7221176339243909,0.7345816377238493,30,text_cluster
6,0.4863059943705456,0.7269235345691176,0.7406705308996512,35,text_cluster
7,0.5266948699751911,0.7525867273902902,0.7635650755697981,40,text_cluster
8,0.5057439015094897,0.7332853136692707,0.7465711428579369,45,text_cluster
0,0.3369891466983848,0.6278322627286238,0.6512737648206646,5,text_cluster
1,0.4084051402330393,0.683086605919971,0.7052317369060117,10,text_cluster
2,0.441224457246697,0.7049205774131956,0.7215808460456128,15,text_cluster
3,0.444251915231761,0.7110226668146491,0.7285195240765618,20,text_cluster
4,0.4828662883429889,0.7282906932865442,0.7416630864247663,25,text_cluster
5,0.4934295711070482,0.7368924205991564,0.7515551358512098,30,text_cluster
6,0.4805352688149804,0.7295501167470646,0.7432052470452878,35,text_cluster
7,0.4986435429486456,0.7378309571448219,0.7516387647310295,40,text_cluster
8,0.5146351747154391,0.7466729117246914,0.7584213287979022,45,text_cluster
0,0.329899448071794,0.6229087381924207,0.6491300690980525,5,text_cluster
1,0.39975686736583127,0.680915344151953,0.7014164862581568,10,text_cluster
2,0.4526927246809942,0.7072583865635461,0.7218122969624778,15,text_cluster
3,0.4375209076539654,0.7009125090224835,0.7161866817689018,20,text_cluster
4,0.4757578770141321,0.7233553068136753,0.7379293359854663,25,text_cluster
5,0.4739203357597426,0.7271645081168211,0.7392904146523278,30,text_cluster
6,0.504624736223871,0.7469345687435954,0.7595169894897129,35,text_cluster
7,0.5203138754770547,0.752245818388059,0.7638629363381808,40,text_cluster
8,0.5051509574411396,0.7366303558156561,0.7482986162077537,45,text_cluster
0,0.32757115659346986,0.6294895913603175,0.6571760195433205,5,margin_conf
1,0.38374608181854514,0.6627065610274306,0.6801134449711751,10,margin_conf
2,0.42175156087272236,0.6958436917074489,0.7108603509314921,15,margin_conf
3,0.48127053707421025,0.734814829579985,0.7497738594206956,20,margin_conf
4,0.4651151295005135,0.7177846779737705,0.7320191967699493,25,margin_conf
5,0.4916372260807755,0.7386755833425435,0.7517597156534888,30,margin_conf
6,0.4812760687066157,0.7176534135629057,0.7278404442515947,35,margin_conf
7,0.5102647659294683,0.7447132049785071,0.7524434426119181,40,margin_conf
8,0.5184049666324191,0.7480700162812279,0.7594913819476447,45,margin_conf
0,0.3330197268342612,0.6222695172526226,0.6443713757608261,5,margin_conf
1,0.4334963670058867,0.6981252938285054,0.7164244502705598,10,margin_conf
2,0.4511323650135422,0.7197714883573021,0.735754121875512,15,margin_conf
3,0.44135328171022925,0.7088975937911723,0.7236100282256678,20,margin_conf
4,0.49226526077214494,0.737211026758457,0.7508229631909252,25,margin_conf
5,0.4853743179029113,0.7374370292335592,0.7517679371970474,30,margin_conf
6,0.5094179986687261,0.7490694853995601,0.7594700070123284,35,margin_conf
7,0.5071625431256382,0.7449241847676745,0.756895008212424,40,margin_conf
8,0.509438969805184,0.7478883555479189,0.7590218690969385,45,margin_conf
0,0.32378338577233606,0.622894304664073,0.6473972624980144,5,margin_conf
1,0.40903026966280054,0.6873435627527893,0.7055337512129602,10,margin_conf
2,0.43614543782777515,0.702498314425363,0.7228650194183978,15,margin_conf
3,0.44057488044941095,0.7060028070123386,0.7206093234916391,20,margin_conf
4,0.4668239376372002,0.7105712853525162,0.7199100863983309,25,margin_conf
5,0.4756642499426778,0.7242504951794067,0.7356791859513114,30,margin_conf
6,0.5049639697513336,0.7476365353318637,0.7602266153492282,35,margin_conf
7,0.5039838462411158,0.744456653018891,0.7581479375453625,40,margin_conf
8,0.4988403072923338,0.7360231069020555,0.7481983514023384,45,margin_conf
0,0.320960418813296,0.6218702034834392,0.6499863679750513,5,least_conf
1,0.3783795152232617,0.661967912863349,0.6796030063743007,10,least_conf
2,0.41408646896513457,0.6951436572325974,0.711616720673854,15,least_conf
3,0.45830262547399314,0.7160156242123467,0.7315743144150186,20,least_conf
4,0.4498428993774565,0.7067223380633432,0.7172049958224664,25,least_conf
5,0.4628285117676402,0.7193896151010079,0.7313455430388283,30,least_conf
6,0.4589608109861152,0.7122388912417051,0.7238708508790161,35,least_conf
7,0.5037630506059396,0.7445798318432029,0.7562833121627437,40,least_conf
8,0.5079558240564147,0.7400187911330485,0.7485355263948908,45,least_conf
0,0.3330197268342612,0.6222695172526226,0.6443713757608261,5,least_conf
1,0.3849179779816657,0.6721836511679802,0.6926846604554341,10,least_conf
2,0.43376005748087476,0.7048365219652817,0.7210212824807922,15,least_conf
3,0.4279970002488566,0.696607737831668,0.7121717721367107,20,least_conf
4,0.47202010142485973,0.7332913666431192,0.7449348699209281,25,least_conf
5,0.4595293027357298,0.7214543986016017,0.7315204991629027,30,least_conf
6,0.4806411967772081,0.7365888155786322,0.7497154310876313,35,least_conf
7,0.4930169671435612,0.7379188433981928,0.7490458595271093,40,least_conf
8,0.4944363877106734,0.7400502308102603,0.7497446406176224,45,least_conf
0,0.32378338577233606,0.622894304664073,0.6473972624980144,5,least_conf
1,0.39963561321365026,0.6767948869554486,0.6982057922412371,10,least_conf
2,0.42886746808817255,0.6986810365261674,0.7165401061670168,15,least_conf
3,0.41722328407944126,0.6890479099553927,0.7026820285585742,20,least_conf
4,0.444452694407531,0.702925391356194,0.7145226331142397,25,least_conf
5,0.4562405268935781,0.7203874354179349,0.7320569447319025,30,least_conf
6,0.4801623060820408,0.7322742914942295,0.7464132435601846,35,least_conf
7,0.4924618416222292,0.7427499901528875,0.7530564739398702,40,least_conf
8,0.5039677649169606,0.7380708835548841,0.7498454711197502,45,least_conf
0,0.325264004689577,0.6257079699683958,0.653735659436913,5,cluster_conf
1,0.35241012760162893,0.6425021381672565,0.6641304962500882,10,cluster_conf
2,0.3363741925255863,0.6381793729095281,0.6606002446529748,15,cluster_conf
3,0.40355310614326134,0.6774795565571072,0.6960795660316699,20,cluster_conf
0,0.3369891466983848,0.6278322627286238,0.6512737648206646,5,cluster_conf
1,0.3557820444281973,0.6500940284196511,0.6731178680062037,10,cluster_conf
2,0.3825623545620798,0.6637361073606711,0.6817611533692163,15,cluster_conf
3,0.38232884898695285,0.6621263305547633,0.683012755136939,20,cluster_conf
0,0.329899448071794,0.6229087381924207,0.6491300690980525,5,cluster_conf
1,0.37813144194270476,0.6619442910448056,0.6824192754547507,10,cluster_conf
2,0.3806235173427817,0.6668678502312916,0.6856660764202699,15,cluster_conf
3,0.3663282322879345,0.6513479576385187,0.6742895132519466,20,cluster_conf
0,0.3312608031072371,0.6273355434271839,0.6554531916620158,5,conf_cluster
1,0.35621195985434817,0.6436349406721675,0.663880400036621,10,conf_cluster
2,0.3542447999427211,0.6496227194580132,0.67081717425223,15,conf_cluster
3,0.3990124710771227,0.6748058374875762,0.696397470644002,20,conf_cluster
4,0.3944948804289051,0.6689296329274651,0.6878933663547229,25,conf_cluster
5,0.4085991640996297,0.6829667129762292,0.7019388752812026,30,conf_cluster
0,0.3369510237612306,0.628228888020423,0.651037765502107,5,conf_cluster
1,0.36393114552472394,0.6519598326896168,0.6757184085032087,10,conf_cluster
2,0.39148643839235703,0.6683029314377255,0.6870079975600172,15,conf_cluster
3,0.37745899527337756,0.6600182844090933,0.6775042395942347,20,conf_cluster
4,0.39763955421176417,0.667428607587911,0.6840197889307682,25,conf_cluster
5,0.4102964426726037,0.6793691681545236,0.6971365260523502,30,conf_cluster
0,0.34364489475418203,0.6272838590668809,0.6520701703073603,5,conf_cluster
1,0.37076213024540094,0.6569608156700103,0.6780894569773102,10,conf_cluster
2,0.3655086844556876,0.6543672391741697,0.6791283479880659,15,conf_cluster
3,0.3708007991531818,0.6526726423322945,0.6719970579915016,20,conf_cluster
4,0.38851177265428166,0.6642376745118524,0.6832167049132924,25,conf_cluster
5,0.3954783673916832,0.6690823033506139,0.6877538974587006,30,conf_cluster
0,0.3312608031072371,0.6273355434271839,0.6554531916620158,5,random
1,0.40301677869995123,0.6706159003754945,0.6896735454659586,10,random
2,0.42457444765738744,0.695514774749925,0.7119722003148125,15,random
3,0.4799654185880756,0.7332909618582865,0.74546980593113,20,random
4,0.4616656000634374,0.7111041701376636,0.7254151763558848,25,random
5,0.48429670358305543,0.7259435857507881,0.7373050001927163,30,random
6,0.4845046241846998,0.7266584519786089,0.7388884519209065,35,random
7,0.5276383192249785,0.7546420455653745,0.7658277817960767,40,random
8,0.5137760109829191,0.7391228773499486,0.748067733220631,45,random
0,0.3369510237612306,0.628228888020423,0.651037765502107,5,random
1,0.4069168144880397,0.6844886355674589,0.7048884712206193,10,random
2,0.45651353002138373,0.7159143257622381,0.7304144368979782,15,random
3,0.4547173273999135,0.7149840236780499,0.7305162035236233,20,random
4,0.5013907414866945,0.7407532711141266,0.7518268196016774,25,random
5,0.49485605246595676,0.7351023416992916,0.7478509795904086,30,random
6,0.5059403368074005,0.745326825264135,0.7595011323604395,35,random
7,0.5070422693754628,0.7439473018320223,0.755410980632434,40,random
8,0.5082900546383102,0.7397475373667286,0.7512062195461982,45,random
0,0.329899448071794,0.6229087381924207,0.6491300690980525,5,random
1,0.41841720523394227,0.6903670630569055,0.7111766915348565,10,random
2,0.4534606572994695,0.7196817728257942,0.7319396064127218,15,random
3,0.43398549431922817,0.7018129759738876,0.7181223698762764,20,random
4,0.4642380194679234,0.71541334540628,0.7283168841984436,25,random
5,0.4741736783712154,0.7206601497623412,0.7329457883760028,30,random
6,0.5122158251279454,0.7481155925977896,0.7598918165669905,35,random
7,0.5168046659377111,0.746909236067727,0.7605971369513926,40,random
8,0.5123289118260776,0.7440840947026492,0.7548930823244342,45,random
0,0.5485480754451757,0.7635615694911752,0.7750628619701572,5,full
1,0.5485480754451757,0.7635615694911752,0.7750628619701572,10,full
2,0.5485480754451757,0.7635615694911752,0.7750628619701572,15,full
3,0.5485480754451757,0.7635615694911752,0.7750628619701572,20,full
4,0.5485480754451757,0.7635615694911752,0.7750628619701572,25,full
5,0.5485480754451757,0.7635615694911752,0.7750628619701572,30,full
6,0.5485480754451757,0.7635615694911752,0.7750628619701572,35,full
7,0.5485480754451757,0.7635615694911752,0.7750628619701572,40,full
8,0.5485480754451757,0.7635615694911752,0.7750628619701572,45,full
